query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T170,Temporal,18.28,583,"['id001', 'id016', 13.783397]",,baseline
T171,Temporal,24.38,577,"['id001', 'id036', 44.286287]",,baseline
T172,Temporal,20.59,580,"['id001', 'id032', 40.209282]",,baseline
T173,Temporal,18.22,584,"['id001', 'id040', 35.959424]",,baseline
T174,Temporal,17.78,588,"['id001', 'id012', 82.176065]",,baseline
T175,Temporal,17.12,582,"['id001', 'id001', 98.923286]",,baseline
T176,Temporal,18.70,585,"['id001', 'id001', 82.234907]",,baseline
T177,Temporal,18.81,590,"['id001', 'id037', 98.466991]",,baseline
T178,Temporal,19.88,582,"['id001', 'id013', 59.191428]",,baseline
T179,Temporal,19.53,583,"['id001', 'id009', 86.418874]",,baseline
T180,Temporal,16.56,575,"['id001', 'id020', 92.776119]",,baseline
T181,Temporal,20.40,583,"['id001', 'id011', 29.678231]",,baseline
T182,Temporal,18.32,586,"['id001', 'id023', 68.539681]",,baseline
T183,Temporal,19.46,578,"['id001', 'id015', 4.785234]",,baseline
T184,Temporal,18.33,588,"['id001', 'id006', 84.912945]",,baseline
T185,Temporal,19.26,583,"['id001', 'id003', 40.77617]",,baseline
T186,Temporal,19.27,581,"['id001', 'id014', 48.817617]",,baseline
T187,Temporal,21.57,580,"['id001', 'id022', 44.974772]",,baseline
T188,Temporal,17.26,579,"['id001', 'id014', 34.654035]",,baseline
T189,Temporal,17.55,574,"['id001', 'id039', 50.39221]",,baseline
T190,Temporal,23.79,579,"['id001', 'id008', 1.626734]",,baseline
T191,Temporal,22.00,585,"['id001', 'id022', 62.157461]",,baseline
T192,Temporal,18.46,577,"['id001', 'id011', 15.158046]",,baseline
T193,Temporal,17.55,585,"['id001', 'id020', 44.296096]",,baseline
T194,Temporal,19.29,582,"['id001', 'id031', 53.932147]",,baseline
T195,Temporal,16.61,583,"['id001', 'id004', 21.625897]",,baseline
T196,Temporal,17.07,588,"['id001', 'id019', 69.898615]",,baseline
T197,Temporal,21.85,584,"['id001', 'id013', 66.306578]",,baseline
T198,Temporal,20.92,589,"['id001', 'id006', 67.04831]",,baseline
T199,Temporal,19.58,581,"['id001', 'id024', 9.324516]",,baseline
T200,Temporal,16.96,587,"['id001', 'id006', 11.402907]",,baseline
T201,Temporal,20.61,586,"['id001', 'id032', 59.34904]",,baseline
T202,Temporal,20.93,584,"['id001', 'id001', 54.280728]",,baseline
T203,Temporal,16.90,583,"['id001', 'id010', 58.281689]",,baseline
T204,Temporal,17.15,588,"['id001', 'id024', 31.666733]",,baseline
T205,Temporal,20.24,581,"['id001', 'id009', 67.26017965000001]",,baseline
T206,Temporal,20.49,583,"['id001', 'id014', 24.887746]",,baseline
T207,Temporal,21.64,587,"['id001', 'id035', 45.381633]",,baseline
T208,Temporal,19.22,586,"['id001', 'id044', 46.716924]",,baseline
T209,Temporal,20.83,592,"['id001', 'id010', 59.033477]",,baseline
T210,Temporal,17.87,583,"['id001', 'id001', 37.974106]",,baseline
T211,Temporal,17.41,582,"['id001', 'id007', 13.433612]",,baseline
T212,Temporal,18.30,582,"['id001', 'id027', 12.82169]",,baseline
T213,Temporal,22.77,586,"['id001', 'id001', 30.887694]",,baseline
T214,Temporal,19.09,589,"['id001', 'id028', 11.79879]",,baseline
T215,Temporal,34.17,582,"['id001', 'id025', 54.607188]",,baseline
T216,Temporal,18.63,582,"['id001', 'id009', 91.223286]",,baseline
T217,Temporal,21.81,586,"['id001', 'id007', 4.555611]",,baseline
T218,Temporal,16.53,588,"['id001', 'id012', 21.325481]",,baseline
T219,Temporal,19.76,581,"['id001', 'id009', 84.029676]",,baseline
T220,Temporal,20.65,584,"['id001', 'id022', 91.115232]",,baseline
T221,Temporal,19.00,586,"['id001', 'id003', 0.968357]",,baseline
T222,Temporal,18.14,585,"['id001', 'id010', 32.521127]",,baseline
T223,Temporal,20.91,589,"['id001', 'id027', 41.098135]",,baseline
T224,Temporal,20.72,586,"['id001', 'id001', 33.925137]",,baseline
T225,Temporal,17.43,586,"['id001', 'id016', 83.670691]",,baseline
T226,Temporal,18.40,590,"['id001', 'id009', 90.290572]",,baseline
T227,Temporal,18.66,581,"['id001', 'id021', 77.937667]",,baseline
T228,Temporal,21.67,584,"['id001', 'id001', 78.883803]",,baseline
T229,Temporal,17.03,581,"['id001', 'id004', 56.922693]",,baseline
T230,Temporal,19.39,593,"['id001', 'id019', 72.851469]",,baseline
T231,Temporal,20.06,587,"['id001', 'id017', 35.660386]",,baseline
T232,Temporal,17.70,586,"['id001', 'id001', 4.761888]",,baseline
T233,Temporal,19.45,580,"['id001', 'id023', 20.214708]",,baseline
T234,Temporal,18.18,582,"['id001', 'id051', 59.240262]",,baseline
T235,Temporal,18.32,580,"['id001', 'id012', 81.36505]",,baseline
T236,Temporal,20.10,578,"['id001', 'id045', 27.21471]",,baseline
T237,Temporal,19.01,591,"['id001', 'id018', 0.167057]",,baseline
T238,Temporal,18.09,582,"['id001', 'id022', 16.85271]",,baseline
T239,Temporal,18.26,581,"['id001', 'id047', 7.358213]",,baseline
T240,Temporal,18.16,586,"['id001', 'id001', 98.102917]",,baseline
T241,Temporal,18.02,583,"['id001', 'id025', 27.759229]",,baseline
T242,Temporal,19.11,588,"['id001', 'id005', 77.926955]",,baseline
T243,Temporal,21.87,575,"['id001', 'id003', 83.866047]",,baseline
T244,Temporal,18.50,582,"['id001', 'id001', 72.08849]",,baseline
T245,Temporal,20.08,583,"['id001', 'id001', 38.415688]",,baseline
T246,Temporal,24.02,584,"['id001', 'id010', 76.860054]",,baseline
T247,Temporal,18.96,579,"['id001', 'id004', 63.06933355]",,baseline
T248,Temporal,24.77,584,"['id001', 'id034', 95.432011]",,baseline
T249,Temporal,22.15,572,"['id001', 'id004', 71.737228]",,baseline
T250,Temporal,18.34,590,"['id001', 'id031', 89.873835]",,baseline
T251,Temporal,18.64,575,"['id001', 'id051', 95.619124]",,baseline
T252,Temporal,20.78,576,"['id001', 'id004', 51.910601]",,baseline
T253,Temporal,20.79,588,"['id001', 'id010', 81.724292]",,baseline
T254,Temporal,20.88,576,"['id001', 'id030', 87.240927]",,baseline
T255,Temporal,24.56,591,"['id001', 'id019', 67.296047]",,baseline
T256,Temporal,22.89,581,"['id001', 'id007', 32.412472]",,baseline
T257,Temporal,22.61,585,"['id001', 'id029', 8.921734]",,baseline
T258,Temporal,19.61,582,"['id001', 'id008', 76.068392]",,baseline
T259,Temporal,20.19,583,"['id001', 'id002', 69.047102]",,baseline
T260,Temporal,19.14,580,"['id001', 'id014', 43.780198]",,baseline
T261,Temporal,18.50,583,"['id001', 'id019', 55.66684]",,baseline
T262,Temporal,19.41,580,"['id001', 'id015', 69.99338589999999]",,baseline
T263,Temporal,18.99,586,"['id001', 'id016', 22.22892]",,baseline
